Porthos, Evening, wait, The evening so impatiently waited for by Porthos.
D’Artagnan, Milady’s home, present, D’Artagnan presented himself at Milady’s.
Milady, D’Artagnan, received well and gratitude, D’Artagnan found her in a charming humor and Milady expressed gratitude for his departure.
D’Artagnan, Kitty, expectation of wait and encounter, D’Artagnan expected Kitty to be waiting and encountered her.
Kitty, Retaliation, purse from Milady, Milady gave Kitty a purse as retaliation.
D’Artagnan, Vengeance, intention, D’Artagnan held to his project of vengeance.
Milady, D’Artagnan, sapphire ring gift, Milady gave D’Artagnan a sapphire ring as a gift.
Athos, D'Artagnan's ring, observation, Athos observed D'Artagnan's ring.
D’Artagnan, Milady, ring reception, D'Artagnan received the ring from Milady.
Athos, D’Artagnan, counsel against Milady, Athos counseled D'Artagnan against Milady.
D’Artagnan, Milady, break off, D’Artagnan decided to break off with Milady.
D’Artagnan, Comte de Wardes, letter, D’Artagnan wrote a letter as Comte de Wardes.
